"Date","Price","Open","High","Low","Change %"
"09/02/2021","134.12","134.06","134.22","134.06","0.05%"
"09/01/2021","134.05","134.00","134.23","133.84","0.00%"
"08/31/2021","134.05","134.14","134.28","133.97","-0.05%"
"08/30/2021","134.12","133.91","134.19","133.86","0.17%"
"08/28/2021","133.89","133.89","133.89","133.89","0.00%"
"08/27/2021","133.89","133.52","133.97","133.42","0.22%"
"08/26/2021","133.59","133.61","133.69","133.38","-0.02%"
"08/25/2021","133.62","133.94","134.05","133.55","-0.27%"
"08/24/2021","133.98","134.20","134.23","133.92","-0.18%"
"08/23/2021","134.22","134.14","134.27","133.94","0.05%"
"08/21/2021","134.16","134.16","134.16","134.16","0.03%"
"08/20/2021","134.12","134.30","134.44","134.06","-0.16%"
"08/19/2021","134.33","134.22","134.53","134.17","0.14%"
"08/18/2021","134.14","134.22","134.31","133.91","-0.10%"
"08/17/2021","134.27","134.23","134.61","134.16","-0.04%"
"08/16/2021","134.33","134.12","134.56","134.06","0.18%"
"08/14/2021","134.09","134.09","134.09","134.09","0.11%"
"08/13/2021","133.95","133.52","134.09","133.47","0.37%"
"08/12/2021","133.45","133.59","133.78","133.41","-0.10%"
"08/11/2021","133.58","133.52","133.91","133.30","0.02%"
"08/10/2021","133.55","133.70","133.86","133.47","-0.17%"
"08/09/2021","133.78","133.91","134.20","133.66","-0.13%"
"08/07/2021","133.95","133.95","133.95","133.95","-0.03%"
"08/06/2021","134.00","134.42","134.47","133.89","-0.37%"
"08/05/2021","134.50","134.83","134.91","134.39","-0.24%"
"08/04/2021","134.83","134.98","135.44","134.62","-0.13%"
"08/03/2021","135.00","134.91","135.19","134.78","0.00%"
"08/02/2021","135.00","134.53","135.16","134.45","0.41%"
"07/30/2021","134.45","134.19","134.59","134.19","0.17%"
"07/29/2021","134.22","134.45","134.50","134.09","-0.04%"
"07/28/2021","134.27","134.39","134.56","134.08","-0.15%"
"07/27/2021","134.47","134.11","134.56","134.09","0.20%"
"07/26/2021","134.20","134.19","134.59","134.06","0.04%"
"07/23/2021","134.14","134.12","134.22","133.94","-0.08%"
"07/22/2021","134.25","134.05","134.47","133.86","0.10%"
"07/21/2021","134.11","134.53","134.83","133.98","-0.42%"
"07/20/2021","134.67","134.59","135.22","134.44","-0.01%"
"07/19/2021","134.69","133.84","134.80","133.81","0.68%"
"07/16/2021","133.78","133.78","133.84","133.45","-0.01%"
"07/15/2021","133.80","133.50","133.88","133.44","0.26%"
"07/14/2021","133.45","132.97","133.53","132.94","0.35%"
"07/13/2021","132.98","133.41","133.56","132.97","-0.32%"
"07/12/2021","133.41","133.39","133.64","133.27","-0.01%"
"07/09/2021","133.42","133.80","133.81","133.38","-0.35%"
"07/08/2021","133.89","133.58","134.09","133.52","0.25%"
"07/07/2021","133.55","133.34","133.70","133.20","0.25%"
"07/06/2021","133.22","132.75","133.39","132.58","0.42%"
"07/05/2021","132.66","132.74","132.79","132.66","-0.06%"
"07/04/2021","132.74","132.77","132.77","132.71","0.05%"
"07/02/2021","132.67","132.38","132.80","132.23","0.30%"
"07/01/2021","132.27","132.31","132.47","132.19","-0.17%"
"06/30/2021","132.50","132.28","132.56","132.19","0.17%"
"06/29/2021","132.27","132.25","132.30","132.02","0.00%"
"06/28/2021","132.27","131.92","132.33","131.89","0.31%"
"06/25/2021","131.86","132.11","132.27","131.77","-0.23%"
"06/24/2021","132.17","132.16","132.28","132.03","-0.02%"
"06/23/2021","132.19","132.39","132.47","132.11","-0.13%"
"06/22/2021","132.36","132.17","132.44","132.02","-0.53%"
"06/21/2021","133.06","133.36","133.55","132.61","-0.08%"
"06/18/2021","133.16","132.84","133.25","132.69","0.19%"
"06/17/2021","132.91","132.56","133.05","132.48","0.16%"
"06/16/2021","132.70","133.47","133.55","132.53","-0.55%"
"06/15/2021","133.44","133.47","133.59","133.38","0.01%"
"06/14/2021","133.42","133.77","133.80","133.38","-0.21%"
"06/11/2021","133.70","133.94","134.06","133.66","-0.07%"
"06/10/2021","133.80","133.67","133.98","133.25","0.12%"
"06/09/2021","133.64","133.30","133.78","133.30","0.21%"
"06/08/2021","133.36","133.06","133.45","133.06","0.25%"
"06/07/2021","133.03","133.09","133.09","132.95","-0.07%"
"06/04/2021","133.12","132.55","133.14","132.50","0.45%"
"06/03/2021","132.53","132.86","132.89","132.52","-0.25%"
"06/02/2021","132.86","132.72","132.92","132.67","0.10%"
"06/01/2021","132.73","132.73","132.81","132.56","0.71%"
"05/31/2021","131.80","131.79","131.87","131.70","0.00%"
"05/30/2021","131.80","131.81","131.84","131.80","-0.80%"
"05/28/2021","132.86","132.69","132.97","132.56","0.13%"
"05/27/2021","132.69","132.84","132.94","132.56","-0.17%"
"05/26/2021","132.91","132.98","133.06","132.83","-0.05%"
"05/25/2021","132.97","132.62","133.05","132.59","0.26%"
"05/24/2021","132.62","132.53","132.69","132.47","0.14%"
"05/21/2021","132.44","132.50","132.62","132.38","-0.03%"
"05/20/2021","132.48","132.09","132.53","132.03","0.34%"
"05/19/2021","132.03","132.39","132.58","131.94","-0.27%"
"05/18/2021","132.39","132.25","132.45","132.23","0.04%"
"05/17/2021","132.34","132.42","132.67","132.25","-0.05%"
"05/14/2021","132.41","132.22","132.53","132.19","0.17%"
"05/13/2021","132.19","131.92","132.31","131.84","0.20%"
"05/12/2021","131.92","132.45","132.56","131.88","-0.40%"
"05/11/2021","132.45","132.61","132.73","132.39","-0.12%"
"05/10/2021","132.61","132.70","132.95","132.56","-0.11%"
"05/07/2021","132.75","132.58","133.52","132.55","0.06%"
"05/06/2021","132.67","132.62","132.75","132.52","0.09%"
"05/05/2021","132.55","132.42","132.67","132.17","0.10%"
"05/04/2021","132.42","132.33","132.73","132.16","0.07%"
"05/03/2021","132.33","132.05","132.50","131.83","0.23%"
"04/30/2021","132.03","131.97","132.14","131.81","0.04%"
"04/29/2021","131.98","132.17","132.17","131.58","-0.08%"
"04/28/2021","132.09","132.02","132.20","131.72","0.05%"
"04/27/2021","132.03","132.36","132.39","131.95","-0.26%"
"04/26/2021","132.38","132.39","132.50","132.16","-0.05%"
"04/23/2021","132.44","132.64","132.73","132.31","-0.08%"
"04/22/2021","132.55","132.53","132.77","132.28","0.02%"
"04/21/2021","132.53","132.58","132.64","132.36","-0.02%"
"04/20/2021","132.56","132.20","132.61","131.98","0.25%"
"04/19/2021","132.23","132.34","132.56","132.05","-0.11%"
"04/16/2021","132.38","132.39","132.55","132.19","-0.21%"
"04/15/2021","132.66","131.91","132.69","131.83","0.56%"
"04/14/2021","131.92","132.11","132.19","131.78","-0.12%"
"04/13/2021","132.08","131.70","132.12","131.38","0.35%"
"04/12/2021","131.62","131.73","131.89","131.53","-0.08%"
"04/09/2021","131.73","132.05","132.08","131.47","-0.20%"
"04/08/2021","132.00","131.66","132.09","131.66","0.13%"
"04/07/2021","131.83","131.67","131.95","131.58","0.11%"
"04/06/2021","131.69","131.28","131.73","131.11","0.44%"
"04/05/2021","131.11","130.95","131.27","130.80","0.12%"
"04/02/2021","130.95","131.47","131.62","130.92","-0.36%"
"04/01/2021","131.42","130.98","131.55","130.91","0.37%"
"03/31/2021","130.94","131.30","131.30","130.91","-0.19%"
"03/30/2021","131.19","131.39","131.42","130.81","-0.13%"
"03/29/2021","131.36","131.64","131.98","131.30","-0.31%"
"03/26/2021","131.77","131.95","132.12","131.62","-0.28%"
"03/25/2021","132.14","132.12","132.30","131.89","0.04%"
"03/24/2021","132.09","132.02","132.28","131.81","0.13%"
"03/23/2021","131.92","131.48","132.09","131.44","-0.63%"
"03/22/2021","132.75","132.62","132.78","132.62","0.29%"
"03/19/2021","132.36","132.53","132.80","132.31","-0.06%"
"03/18/2021","132.44","133.14","133.14","132.23","-0.59%"
"03/17/2021","133.23","133.02","133.17","132.66","0.11%"
"03/16/2021","133.08","133.19","133.30","133.02","0.00%"
"03/15/2021","133.08","133.11","133.16","132.89","0.13%"
"03/12/2021","132.91","133.61","133.61","132.89","-0.61%"
"03/11/2021","133.72","133.58","134.09","133.52","0.07%"
"03/10/2021","133.62","133.48","133.72","133.30","0.16%"
"03/09/2021","133.41","132.97","133.48","132.97","0.32%"
"03/08/2021","132.98","133.14","133.22","132.94","-0.35%"
"03/05/2021","133.45","133.44","133.62","132.88","-0.04%"
"03/04/2021","133.50","134.06","134.28","133.48","-0.48%"
"03/03/2021","134.14","134.73","134.73","133.95","-0.37%"
"03/02/2021","134.64","134.42","134.84","134.27","0.27%"
"03/01/2021","134.28","134.27","134.58","134.09","0.36%"
"02/26/2021","133.80","133.70","134.39","133.33","0.10%"
"02/25/2021","133.67","135.23","135.28","133.08","-1.10%"
"02/24/2021","135.16","135.55","135.72","134.86","-0.19%"
"02/23/2021","135.42","135.34","135.56","135.20","0.07%"
"02/22/2021","135.33","135.42","135.59","135.03","-0.09%"
"02/19/2021","135.45","135.83","135.89","135.33","-0.30%"
"02/18/2021","135.86","135.95","136.06","135.62","0.08%"
"02/17/2021","135.75","135.66","135.95","135.47","-0.02%"
"02/16/2021","135.78","136.45","136.47","135.64","-0.29%"
"02/15/2021","136.18","136.32","136.35","136.05","-0.10%"
"02/14/2021","136.32","136.49","136.49","136.29","-0.17%"
"02/12/2021","136.55","136.81","136.94","136.47","-0.23%"
"02/11/2021","136.86","136.98","137.06","136.80","-0.04%"
"02/10/2021","136.92","136.70","136.98","136.58","0.15%"
"02/09/2021","136.72","136.62","136.81","136.61","0.02%"
"02/08/2021","136.69","136.67","136.78","136.45","0.00%"
"02/05/2021","136.69","136.77","136.92","136.50","-0.08%"
"02/04/2021","136.80","136.73","136.84","136.59","0.00%"
"02/03/2021","136.80","137.02","137.02","136.72","-0.10%"
"02/02/2021","136.94","137.16","137.22","136.88","-0.18%"
"02/01/2021","137.19","137.17","137.30","137.06","0.12%"
"01/29/2021","137.03","137.27","137.33","136.89","-0.16%"
"01/28/2021","137.25","137.16","137.19","137.04","-0.20%"
"01/27/2021","137.53","137.38","137.64","137.28","0.11%"
"01/26/2021","137.38","137.42","137.45","137.27","0.00%"
"01/25/2021","137.38","137.03","137.45","136.94","0.26%"
"01/22/2021","137.03","136.88","137.08","136.81","0.10%"
"01/21/2021","136.89","137.00","137.06","136.73","-0.06%"
"01/20/2021","136.97","136.95","137.06","136.80","0.02%"
"01/19/2021","136.94","136.92","136.98","136.66","0.07%"
"01/18/2021","136.84","136.93","136.98","136.84","-0.07%"
"01/17/2021","136.94","136.93","136.98","136.91","0.06%"
"01/15/2021","136.86","136.53","136.95","136.52","0.22%"
"01/14/2021","136.56","136.80","136.88","136.50","-0.15%"
"01/13/2021","136.77","136.42","136.86","136.38","0.28%"
"01/12/2021","136.39","136.31","136.45","136.03","-0.02%"
"01/11/2021","136.42","136.56","136.75","136.30","-0.18%"
"01/08/2021","136.66","136.88","136.92","136.52","-0.21%"
"01/07/2021","136.95","137.23","137.30","136.84","-0.18%"
"01/06/2021","137.20","137.83","137.92","137.09","-0.46%"
"01/05/2021","137.84","138.16","138.16","137.78","-0.20%"
"01/04/2021","138.12","137.97","138.17","137.81","0.07%"
"01/01/2021","138.03","138.03","138.03","138.03","-0.04%"
"12/31/2020","138.08","137.97","138.11","137.89","0.08%"
"12/30/2020","137.97","137.89","137.98","137.75","0.04%"
"12/29/2020","137.92","137.97","137.97","137.80","0.00%"
"12/28/2020","137.92","137.92","137.98","137.67","0.03%"
"12/24/2020","137.88","137.80","137.94","137.73","0.08%"
"12/23/2020","137.77","137.98","138.09","137.62","-0.15%"
"12/22/2020","137.98","137.80","138.00","137.77","-0.31%"
"12/21/2020","138.41","138.66","138.70","138.33","0.15%"
"12/18/2020","138.20","138.36","138.39","138.19","-0.07%"
"12/17/2020","138.30","138.30","138.53","138.20","-0.02%"
"12/16/2020","138.33","138.42","138.42","138.11","0.02%"
"12/15/2020","138.30","138.48","138.58","138.27","-0.14%"
"12/14/2020","138.50","138.36","138.52","138.17","0.00%"
"12/11/2020","138.50","138.30","138.59","138.28","0.14%"
"12/10/2020","138.31","138.12","138.30","138.09","0.19%"
"12/09/2020","138.05","138.12","138.16","137.95","-0.12%"
"12/08/2020","138.22","138.19","138.39","138.08","0.06%"
"12/07/2020","138.14","137.81","138.17","137.80","0.24%"
"12/04/2020","137.81","138.14","138.20","137.69","-0.20%"
"12/03/2020","138.08","137.95","138.20","137.86","0.17%"
"12/02/2020","137.84","137.98","138.05","137.70","0.00%"
"12/01/2020","137.84","138.53","138.59","137.83","-0.50%"
"11/30/2020","138.53","138.53","138.62","138.42","-0.01%"
"11/27/2020","138.55","138.25","138.55","138.23","0.07%"
"11/26/2020","138.45","138.27","138.46","138.27","0.13%"
"11/25/2020","138.27","138.25","138.47","138.12","0.01%"
"11/24/2020","138.25","138.33","138.38","138.17","-0.04%"
"11/23/2020","138.31","138.53","138.55","138.27","-0.14%"
"11/20/2020","138.50","138.52","138.62","138.38","0.10%"
"11/19/2020","138.36","138.22","138.52","138.22","0.12%"
"11/18/2020","138.19","138.36","138.52","138.08","-0.08%"
"11/17/2020","138.30","138.03","138.36","137.95","0.20%"
"11/16/2020","138.03","138.08","138.25","137.84","-0.06%"
"11/13/2020","138.11","138.20","138.33","138.05","-0.04%"
"11/12/2020","138.16","137.62","138.23","137.61","0.40%"
"11/11/2020","137.61","137.50","137.67","137.25","0.12%"
"11/10/2020","137.44","137.81","137.92","137.42","-0.10%"
"11/09/2020","137.58","138.50","138.77","137.41","-0.70%"
"11/06/2020","138.55","138.97","139.03","138.39","-0.24%"
"11/05/2020","138.88","138.97","139.27","138.77","-0.07%"
"11/04/2020","138.98","137.95","139.03","137.64","0.64%"
"11/03/2020","138.09","138.31","138.34","137.95","-0.15%"
"11/02/2020","138.30","138.17","138.48","138.14","0.06%"
"10/30/2020","138.22","138.47","138.61","138.11","-0.14%"
"10/29/2020","138.41","138.81","138.89","138.36","-0.28%"
"10/28/2020","138.80","138.89","139.09","138.77","-0.03%"
"10/27/2020","138.84","138.62","138.91","138.58","0.14%"
"10/26/2020","138.64","138.34","138.72","138.34","0.20%"
"10/23/2020","138.36","138.27","138.47","138.17","0.02%"
"10/22/2020","138.33","138.50","138.62","138.16","-0.18%"
"10/21/2020","138.58","138.75","138.77","138.41","-0.09%"
"10/20/2020","138.70","138.83","138.89","138.66","-0.16%"
"10/19/2020","138.92","139.03","139.05","138.75","-0.10%"
"10/16/2020","139.06","139.09","139.23","138.97","-0.04%"
"10/15/2020","139.12","139.20","139.44","139.06","-0.07%"
"10/14/2020","139.22","139.20","139.33","139.14","0.01%"
"10/13/2020","139.20","138.91","139.25","138.89","0.21%"
"10/12/2020","138.91","138.83","138.94","138.80","0.06%"
"10/09/2020","138.83","138.80","138.98","138.67","-0.06%"
"10/08/2020","138.92","138.70","138.94","138.70","0.14%"
"10/07/2020","138.72","139.12","139.14","138.64","-0.24%"
"10/06/2020","139.05","138.77","139.19","138.72","0.09%"
"10/05/2020","138.92","139.38","139.45","138.75","-0.37%"
"10/02/2020","139.44","139.52","139.78","139.36","-0.08%"
"10/01/2020","139.55","139.47","139.64","139.20","0.01%"
"09/30/2020","139.53","139.73","139.80","139.34","-0.18%"
"09/29/2020","139.78","139.70","139.81","139.62","0.11%"
"09/28/2020","139.62","139.64","139.69","139.52","-0.01%"
"09/25/2020","139.64","139.55","139.72","139.47","0.04%"
"09/24/2020","139.58","139.52","139.61","139.47","0.06%"
"09/23/2020","139.50","139.55","139.67","139.39","-0.09%"
"09/22/2020","139.62","139.58","139.62","139.48","-0.11%"
"09/21/2020","139.77","139.61","139.88","139.61","0.11%"
"09/18/2020","139.61","139.70","139.70","139.56","-0.02%"
"09/17/2020","139.64","139.56","139.91","139.56","0.00%"
"09/16/2020","139.64","139.73","139.95","139.55","-0.02%"
"09/15/2020","139.67","139.73","139.73","139.62","-0.04%"
"09/14/2020","139.73","139.77","139.84","139.67","-0.03%"
"09/11/2020","139.77","139.61","139.77","139.53","0.13%"
"09/10/2020","139.59","139.47","139.62","139.34","0.09%"
"09/09/2020","139.47","139.69","139.72","139.42","-0.06%"
"09/08/2020","139.56","139.28","139.64","139.25","0.34%"
"09/07/2020","139.09","139.10","139.20","139.02","-0.01%"
"09/06/2020","139.10","139.06","139.13","139.06","-0.07%"
"09/04/2020","139.20","139.84","139.86","139.19","-0.51%"
"09/03/2020","139.92","139.72","140.02","139.58","0.16%"
"09/02/2020","139.70","139.59","139.77","139.45","0.09%"
"09/01/2020","139.58","139.34","139.59","139.20","0.12%"
"08/31/2020","139.41","139.30","139.45","139.09","0.11%"
"08/28/2020","139.25","138.91","139.36","138.72","0.20%"
"08/27/2020","138.97","139.33","139.62","138.89","-0.24%"
"08/26/2020","139.31","139.27","139.34","139.02","0.00%"
"08/25/2020","139.31","139.47","139.48","139.02","-0.15%"
"08/24/2020","139.52","139.61","139.72","139.44","-0.03%"
"08/21/2020","139.56","139.50","139.73","139.42","0.00%"
"08/20/2020","139.56","139.31","139.66","139.31","0.13%"
"08/19/2020","139.38","139.42","139.56","139.27","-0.01%"
"08/18/2020","139.39","139.30","139.50","139.25","0.04%"
"08/17/2020","139.33","139.16","139.47","139.11","0.15%"
"08/14/2020","139.12","138.91","139.22","138.91","0.11%"
"08/13/2020","138.97","139.12","139.44","138.89","-0.16%"
"08/12/2020","139.19","139.36","139.50","139.00","-0.04%"
"08/11/2020","139.25","139.88","139.94","139.22","-0.45%"
"08/10/2020","139.88","139.94","140.14","139.83","-0.05%"
"08/07/2020","139.95","140.14","140.28","139.91","-0.15%"
"08/06/2020","140.16","140.03","140.41","140.00","0.06%"
"08/05/2020","140.08","140.39","140.41","140.00","-0.18%"
"08/04/2020","140.33","140.03","140.41","139.94","0.28%"
"08/03/2020","139.94","140.16","140.17","139.88","-0.10%"
"07/31/2020","140.08","139.97","140.19","139.88","0.04%"
"07/30/2020","140.02","139.78","140.06","139.75","0.19%"
"07/29/2020","139.75","139.70","139.88","139.58","0.04%"
"07/28/2020","139.70","139.42","139.73","139.25","0.16%"
"07/27/2020","139.47","139.56","139.75","139.41","-0.08%"
"07/24/2020","139.58","139.62","139.78","139.53","-0.03%"
"07/23/2020","139.62","139.53","139.70","139.52","0.04%"
"07/22/2020","139.56","139.55","139.67","139.48","0.03%"
"07/21/2020","139.52","139.47","139.59","139.33","0.09%"
"07/20/2020","139.39","139.36","139.56","139.33","0.02%"
"07/17/2020","139.36","139.44","139.56","139.31","-0.09%"
"07/16/2020","139.48","139.31","139.56","139.27","0.10%"
"07/15/2020","139.34","139.20","139.44","139.11","-0.06%"
"07/14/2020","139.42","139.34","139.52","139.23","0.14%"
"07/13/2020","139.22","139.16","139.38","139.02","0.00%"
"07/10/2020","139.22","139.38","139.70","139.11","-0.20%"
"07/09/2020","139.50","139.08","139.53","139.06","0.22%"
"07/08/2020","139.19","139.25","139.28","139.02","-0.01%"
"07/07/2020","139.20","139.02","139.33","138.94","0.16%"
"07/06/2020","138.98","139.17","139.17","138.77","-0.14%"
"07/03/2020","139.18","139.16","139.23","139.12","0.06%"
"07/02/2020","139.09","138.97","139.19","138.73","0.10%"
"07/01/2020","138.95","139.16","139.17","138.80","-0.16%"
"06/30/2020","139.17","139.38","139.44","139.09","-0.11%"
"06/29/2020","139.33","139.23","139.42","139.08","0.08%"
"06/26/2020","139.22","138.84","139.27","138.83","0.22%"
"06/25/2020","138.91","138.88","139.06","138.80","0.02%"
"06/24/2020","138.88","138.67","138.91","138.53","0.09%"
"06/23/2020","138.75","138.64","138.91","138.52","0.04%"
"06/22/2020","138.70","138.92","138.95","138.64","-0.33%"
"06/19/2020","139.16","139.14","139.14","138.80","-0.03%"
"06/18/2020","139.20","139.05","139.20","139.02","0.17%"
"06/17/2020","138.97","138.80","138.98","138.80","0.12%"
"06/16/2020","138.80","138.81","138.98","138.64","-0.22%"
"06/15/2020","139.11","139.22","139.47","138.94","0.00%"
"06/12/2020","139.11","139.27","139.28","139.08","-0.22%"
"06/11/2020","139.42","139.09","139.42","139.03","0.39%"
"06/10/2020","138.88","138.16","138.98","138.16","0.52%"
"06/09/2020","138.16","137.91","138.31","137.88","0.31%"
"06/08/2020","137.73","137.48","137.89","137.42","0.13%"
"06/05/2020","137.55","138.17","138.36","137.12","-0.47%"
"06/04/2020","138.20","138.67","138.73","138.09","-0.26%"
"06/03/2020","138.56","139.17","139.20","138.47","-0.45%"
"06/02/2020","139.19","139.33","139.42","139.12","-0.10%"
"06/01/2020","139.33","139.45","139.53","139.11","-0.04%"
"05/29/2020","139.38","139.06","139.41","139.05","0.31%"
"05/28/2020","138.95","139.06","139.22","138.89","-0.12%"
"05/27/2020","139.12","138.98","139.31","138.69","0.12%"
"05/26/2020","138.95","139.19","139.25","138.80","-0.18%"
"05/25/2020","139.20","139.15","139.24","139.12","0.05%"
"05/24/2020","139.13","139.17","139.21","139.12","-0.02%"
"05/22/2020","139.16","139.06","139.42","139.05","0.07%"
"05/21/2020","139.06","139.02","139.22","138.98","-0.01%"
"05/20/2020","139.08","139.05","139.16","138.78","0.16%"
"05/19/2020","138.86","138.67","139.05","138.58","0.19%"
"05/18/2020","138.59","139.36","139.39","138.56","-0.53%"
"05/15/2020","139.33","139.38","139.66","139.25","-0.06%"
"05/14/2020","139.42","139.20","139.52","139.16","0.14%"
"05/13/2020","139.22","139.08","139.31","139.03","0.19%"
"05/12/2020","138.95","138.72","139.09","138.58","0.24%"
"05/11/2020","138.62","138.94","139.06","138.61","-0.24%"
"05/08/2020","138.95","139.19","139.50","138.88","-0.25%"
"05/07/2020","139.30","138.62","139.34","138.50","0.54%"
"05/06/2020","138.55","138.80","138.81","138.27","-0.22%"
"05/05/2020","138.86","138.92","138.98","138.62","-0.08%"
"05/04/2020","138.97","139.11","139.23","138.80","0.06%"
"05/01/2020","138.88","138.97","139.27","138.84","-0.13%"
"04/30/2020","139.06","138.94","139.36","138.80","0.06%"
"04/29/2020","138.97","139.00","139.28","138.83","-0.04%"
"04/28/2020","139.02","138.62","139.11","138.53","0.26%"
"04/27/2020","138.66","139.00","139.05","138.58","-0.32%"
"04/24/2020","139.11","139.09","139.23","138.89","0.06%"
"04/23/2020","139.02","139.03","139.17","138.86","-0.02%"
"04/22/2020","139.05","139.42","139.53","138.83","-0.24%"
"04/21/2020","139.39","139.22","139.69","139.08","0.20%"
"04/20/2020","139.11","139.02","139.23","138.92","0.16%"
"04/17/2020","138.89","138.84","139.44","138.53","-0.24%"
"04/16/2020","139.23","139.17","139.41","138.95","0.05%"
"04/15/2020","139.16","138.22","139.28","138.19","0.68%"
"04/14/2020","138.22","137.97","138.39","137.84","0.10%"
"04/13/2020","138.08","138.08","138.34","137.89","-0.07%"
"04/10/2020","138.17","138.17","138.17","138.17","-0.06%"
"04/09/2020","138.25","137.77","138.39","137.66","0.30%"
"04/08/2020","137.84","138.06","138.30","137.70","-0.05%"
"04/07/2020","137.91","138.44","138.47","137.50","-0.36%"
"04/06/2020","138.41","138.98","139.03","138.33","-0.52%"
"04/03/2020","139.14","139.02","139.34","138.89","0.18%"
"04/02/2020","138.89","139.30","139.45","138.78","-0.06%"
"04/01/2020","138.98","138.80","139.42","138.78","0.21%"
"03/31/2020","138.69","138.47","139.05","138.34","-0.10%"
"03/30/2020","138.83","138.92","139.39","138.38","0.41%"
"03/27/2020","138.27","137.39","138.75","137.34","0.39%"
"03/26/2020","137.73","137.25","138.02","137.22","0.28%"
"03/25/2020","137.34","137.23","137.69","137.03","-0.08%"
"03/24/2020","137.45","138.09","138.31","136.92","-0.54%"
"03/23/2020","138.20","137.56","138.56","137.20","1.25%"
"03/20/2020","136.50","136.34","136.45","136.00","0.88%"
"03/19/2020","135.31","135.14","136.00","134.56","0.69%"
"03/18/2020","134.38","135.88","136.00","134.48","-1.23%"
"03/17/2020","136.06","140.00","140.00","135.66","-1.45%"
"03/16/2020","138.06","136.66","138.38","136.66","1.66%"
"03/13/2020","135.80","136.12","137.12","135.78","-0.80%"
"03/12/2020","136.89","138.47","138.89","136.73","-0.18%"
"03/11/2020","137.14","137.62","138.38","136.64","-0.30%"
"03/10/2020","137.55","137.78","138.75","137.00","-1.26%"
"03/09/2020","139.30","138.55","140.70","138.50","0.91%"
"03/06/2020","138.05","136.80","138.48","136.70","0.94%"
"03/05/2020","136.77","135.75","136.94","135.67","0.38%"
"03/04/2020","136.25","136.14","136.64","135.67","0.18%"
"03/03/2020","136.00","134.55","136.95","134.48","0.54%"
"03/02/2020","135.27","135.03","135.84","134.58","0.32%"
"02/28/2020","134.84","133.70","134.98","133.55","1.05%"
"02/27/2020","133.44","133.09","133.97","133.02","0.08%"
"02/26/2020","133.33","132.91","133.41","132.70","0.16%"
"02/25/2020","133.12","132.73","133.33","132.34","0.35%"
"02/24/2020","132.66","132.20","132.89","132.09","0.61%"
"02/21/2020","131.86","131.50","132.14","131.44","0.32%"
"02/20/2020","131.44","131.09","131.59","130.94","0.27%"
"02/19/2020","131.08","131.17","131.25","130.94","-0.09%"
"02/18/2020","131.20","130.94","131.39","130.83","0.11%"
"02/17/2020","131.05","130.91","131.10","130.84","0.11%"
"02/16/2020","130.91","130.93","130.95","130.85","-0.05%"
"02/14/2020","130.98","130.73","131.12","130.73","0.16%"
"02/13/2020","130.77","130.66","131.17","130.64","0.06%"
"02/12/2020","130.69","130.89","130.94","130.61","-0.24%"
"02/11/2020","131.00","131.12","131.19","130.88","-0.27%"
"02/10/2020","131.36","131.09","131.39","130.89","0.21%"
"02/07/2020","131.08","130.55","131.14","130.52","0.40%"
"02/06/2020","130.56","130.55","130.66","130.22","0.01%"
"02/05/2020","130.55","130.92","131.14","130.36","-0.26%"
"02/04/2020","130.89","131.55","131.64","130.75","-0.52%"
"02/03/2020","131.58","131.86","131.91","131.12","-0.06%"
"01/31/2020","131.66","131.02","131.83","130.94","0.27%"
"01/30/2020","131.31","131.06","131.53","131.00","0.22%"
"01/29/2020","131.02","130.52","131.16","130.42","0.31%"
"01/28/2020","130.61","130.81","131.19","130.45","-0.21%"
"01/27/2020","130.89","130.58","130.97","130.53","0.47%"
"01/24/2020","130.28","129.81","130.38","129.59","0.39%"
"01/23/2020","129.78","129.55","130.03","129.55","0.18%"
"01/22/2020","129.55","129.53","129.62","129.38","-0.02%"
"01/21/2020","129.58","129.12","129.61","129.11","0.33%"
"01/20/2020","129.16","129.15","129.18","129.10","0.01%"
"01/19/2020","129.15","129.14","129.16","129.12","0.08%"
"01/17/2020","129.05","129.11","129.22","128.91","-0.09%"
"01/16/2020","129.16","129.36","129.44","129.08","-0.14%"
"01/15/2020","129.34","129.17","129.44","129.12","0.15%"
"01/14/2020","129.14","128.92","129.23","128.78","0.17%"
"01/13/2020","128.92","129.11","129.11","128.81","-0.12%"
"01/10/2020","129.08","128.86","129.17","128.77","0.15%"
"01/09/2020","128.89","128.77","128.94","128.55","0.09%"
"01/08/2020","128.77","129.25","130.19","128.73","-0.30%"
"01/07/2020","129.16","129.23","129.39","129.14","-0.07%"
"01/06/2020","129.25","129.50","129.66","129.16","-0.11%"
"01/03/2020","129.39","128.66","129.44","128.62","0.60%"
"01/02/2020","128.62","128.30","128.92","128.16","0.26%"
"01/01/2020","128.29","128.27","128.34","128.24","-0.10%"
"12/31/2019","128.42","128.61","128.61","128.25","-0.09%"
"12/30/2019","128.53","128.61","128.69","128.16","-0.10%"
"12/27/2019","128.66","128.41","128.67","128.39","0.22%"
"12/26/2019","128.38","128.36","128.47","128.20","0.02%"
"12/25/2019","128.35","128.38","128.38","128.35","0.03%"
"12/24/2019","128.31","128.14","128.39","128.00","0.17%"
"12/23/2019","128.09","128.22","128.39","128.05","-0.12%"
"12/20/2019","128.25","128.20","128.27","127.97","-0.24%"
"12/19/2019","128.56","128.34","128.55","128.28","0.18%"
"12/18/2019","128.33","128.64","128.77","128.25","-0.19%"
